ID_Cliente;Tipo_Suscripcion;Region;Dispositivo_Principal;Frecuencia_Uso;Soporte_Contactado;Churn
1;Premium;Norte;Smart TV;Alta;No;No
2;Basica;Sur;Movil;Media;No;No
3;Estandar;Este;Tablet;Baja;Si;Si
4;Premium;Oeste;Laptop;Alta;No;No
5;Basica;Norte;Movil;Media;No;No
6;Estandar;Sur;Smart TV;Baja;Si;No
7;Premium;Este;Laptop;Alta;No;No
8;Basica;Oeste;Movil;Media;No;No
9;Estandar;Norte;Tablet;Baja;Si;Si
10;Premium;Sur;Smart TV;Alta;No;No
11;Basica;Este;Movil;Media;No;No
12;Estandar;Oeste;Laptop;Baja;Si;No
13;Premium;Norte;Smart TV;Alta;No;No
14;Basica;Sur;Movil;Media;No;No
15;Estandar;Este;Tablet;Baja;Si;Si
16;Premium;Oeste;Laptop;Alta;No;No
17;Basica;Norte;Movil;Media;No;No
18;Estandar;Sur;Smart TV;Baja;Si;No
19;Premium;Este;Laptop;Alta;No;No
20;Basica;Oeste;Movil;Media;No;No
21;Estandar;Norte;Tablet;Baja;Si;Si
22;Premium;Sur;Smart TV;Alta;No;No
23;Basica;Este;Movil;Media;No;No
24;Estandar;Oeste;Laptop;Baja;Si;No
25;Premium;Norte;Smart TV;Alta;No;No
26;Basica;Sur;Movil;Media;No;No
27;Estandar;Este;Tablet;Baja;Si;Si
28;Premium;Oeste;Laptop;Alta;No;No
29;Basica;Norte;Movil;Media;No;No
30;Estandar;Sur;Smart TV;Baja;Si;No
31;Premium;Este;Laptop;Alta;No;No
32;Basica;Oeste;Movil;Media;No;No
33;Estandar;Norte;Tablet;Baja;Si;Si
34;Premium;Sur;Smart TV;Alta;No;No
35;Basica;Este;Movil;Media;No;No
36;Estandar;Oeste;Laptop;Baja;Si;No
37;Premium;Norte;Smart TV;Alta;No;No
38;Basica;Sur;Movil;Media;No;No
39;Estandar;Este;Tablet;Baja;Si;Si
40;Premium;Oeste;Laptop;Alta;No;No
41;Basica;Norte;Movil;Media;No;No
42;Estandar;Sur;Smart TV;Baja;Si;No
43;Premium;Este;Laptop;Alta;No;No
44;Basica;Oeste;Movil;Media;No;No
45;Estandar;Norte;Tablet;Baja;Si;Si
46;Premium;Sur;Smart TV;Alta;No;No
47;Basica;Este;Movil;Media;No;No
48;Estandar;Oeste;Laptop;Baja;Si;No
49;Premium;Norte;Smart TV;Alta;No;No
50;Basica;Sur;Movil;Media;No;No
51;Estandar;Este;Tablet;Baja;Si;Si
52;Premium;Oeste;Laptop;Alta;No;No
53;Basica;Norte;Movil;Media;No;No
54;Estandar;Sur;Smart TV;Baja;Si;No
55;Premium;Este;Laptop;Alta;No;No
56;Basica;Oeste;Movil;Media;No;No
57;Estandar;Norte;Tablet;Baja;Si;Si
58;Premium;Sur;Smart TV;Alta;No;No
59;Basica;Este;Movil;Media;No;No
60;Estandar;Oeste;Laptop;Baja;Si;No
61;Premium;Norte;Smart TV;Alta;No;No
62;Basica;Sur;Movil;Media;No;No
63;Estandar;Este;Tablet;Baja;Si;Si
64;Premium;Oeste;Laptop;Alta;No;No
65;Basica;Norte;Movil;Media;No;No
66;Estandar;Sur;Smart TV;Baja;Si;No
67;Premium;Este;Laptop;Alta;No;No
68;Basica;Oeste;Movil;Media;No;No
69;Estandar;Norte;Tablet;Baja;Si;Si
70;Premium;Sur;Smart TV;Alta;No;No
71;Basica;Este;Movil;Media;No;No
72;Estandar;Oeste;Laptop;Baja;Si;No
73;Premium;Norte;Smart TV;Alta;No;No
74;Basica;Sur;Movil;Media;No;No
75;Estandar;Este;Tablet;Baja;Si;Si
76;Premium;Oeste;Laptop;Alta;No;No
77;Basica;Norte;Movil;Media;No;No
78;Estandar;Sur;Smart TV;Baja;Si;No
79;Premium;Este;Laptop;Alta;No;No
80;Basica;Oeste;Movil;Media;No;No
81;Estandar;Norte;Tablet;Baja;Si;Si
82;Premium;Sur;Smart TV;Alta;No;No
83;Basica;Este;Movil;Media;No;No
84;Estandar;Oeste;Laptop;Baja;Si;No
85;Premium;Norte;Smart TV;Alta;No;No
86;Basica;Sur;Movil;Media;No;No
87;Estandar;Este;Tablet;Baja;Si;Si
88;Premium;Oeste;Laptop;Alta;No;No
89;Basica;Norte;Movil;Media;No;No
90;Estandar;Sur;Smart TV;Baja;Si;No
91;Premium;Este;Laptop;Alta;No;No
92;Basica;Oeste;Movil;Media;No;No
93;Estandar;Norte;Tablet;Baja;Si;Si
94;Premium;Sur;Smart TV;Alta;No;No
95;Basica;Este;Movil;Media;No;No
96;Estandar;Oeste;Laptop;Baja;Si;No
97;Premium;Norte;Smart TV;Alta;No;No
98;Basica;Sur;Movil;Media;No;No
99;Estandar;Este;Tablet;Baja;Si;Si
100;Premium;Oeste;Laptop;Alta;No;No
101;Basica;Norte;Movil;Media;No;No
102;Estandar;Sur;Smart TV;Baja;Si;No
103;Premium;Este;Laptop;Alta;No;No
104;Basica;Oeste;Movil;Media;No;No
105;Estandar;Norte;Tablet;Baja;Si;Si
