Código;Región;Nombre Estructura;"Tipo de Sitio
Pliego Técnico";Latitud;Longitud;Tipo Estructura ;Tipo Construcción;Provincia;Ciudad;CENTRO DE MANTENIMIENTO;ESTADO
N170001;Norte;10_DE_AGOSTO_ALES;9F;-0,147233333;-78,48341944;Mástiles;Terraza;Pichincha;QUITO;PICHINCHA;OPERATIVO
S130001;Sur;10_DE_AGOSTO_MANABI;9A;-0,138908333;-80,07307222;Torre Autosoportada;Terreno;Manabí;10 DE AGOSTO;GCHONE;OPERATIVO
N170002;Norte;12_DE_OCTUBRE;9F;-0,204141667;-78,48555833;Mástiles;Terraza;Pichincha;QUITO;PICHINCHA;OPERATIVO
N170805;Norte;18_DE_SEPTIEMBRE;9F;-0,204169444;-78,50339167;Mástiles;Terraza;Pichincha;QUITO;PICHINCHA;OPERATIVO
N170003;Norte;23_DE_JUNIO;9F;-0,112794444;-78,49864167;Mástiles;Terraza;Pichincha;QUITO;PICHINCHA;OPERATIVO
N170004;Norte;23_DE_MAYO;9F;-0,286641667;-78,56205833;Mástiles;Terraza;Pichincha;QUITO;PICHINCHA;OPERATIVO
N170005;Norte;24_DE_MAYO;8F;-0,221394444;-78,51616944;Mástiles;Terraza;Pichincha;QUITO;PICHINCHA;OPERATIVO
S130183;Sur;24_DE_MAYO_MANTA;9F;-0,959083333;-80,74613889;Soportes;Terraza;Manabí;MANTA;GMANTA;OPERATIVO
N230001;Norte;26_DE_OCTUBRE;9C;-0,267238889;-79,18308611;Monopolo;Terreno;Santo Domingo;SANTO DOMINGO DE LOS COLORADOS;GSTD;OPERATIVO
N170006;Norte;29_DE_SEPTIEMBRE;9C;0,042525;-79,36055833;Torre Autosoportada;Terreno;Pichincha;PUERTO QUITO;GSTD;OPERATIVO
S130002;Sur;ABDON_CALDERON;9A;-1,0216;-80,3649;Torre Autosoportada;Terreno;Manabí;Abdón Calderón;GPORTOV;OPERATIVO
S090083;Sur;ABEL_GILBERT;9C;-2,186408333;-79,85230833;Monopolo;Terreno;Guayas;Durán;GUAYAS;OPERATIVO
S090601;Sur;ABEL_GILBERT_NORTE;9C;-2,181472222;-79,85141667;Monopolo;Terreno;Guayas;Guayaquil;GUAYAS;OPERATIVO
S090084;Sur;ACACIAS;8F;-2,221391667;-79,90278056;Torre Autosoportada;Terreno;Guayas;GUAYAQUIL;GUAYAS;OPERATIVO
S090001;Sur;ACHIOTE;9C;-1,222311111;-79,75876667;Torre Autosoportada;Terreno;Guayas;BALZAR;GBABAHOYO;OPERATIVO
S060001;Sur;ACHUPALLAS;9C;-2,261058333;-78,77584722;Torre Autosoportada;Terreno;Chimborazo;GUASUNTOS;CUENCA;OPERATIVO
S0100204;Sur;AEROCUENCA;9C;-2,88717;-78,985;;;Azuay;CUENCA;CUENCA;OPERATIVO
N170962;Norte;AEROPUERTO_OUTDOOR_UIO;9C;-0,136738889;-78,35888889;Torre;Terreno;Pichincha;QUITO;PICHINCHA;OPERATIVO
N2000013;Norte;AEROPUERTO_SEYMOUR;8M;-0,446111;-90,2697;;;Galápagos;SANTA ROSA;GALÁPAGOS (SANTA CRUZ);OPERATIVO
N1701133;Norte;AFNA_UIO;9F;-0,209583333;-78,48855556;Soportes;Terraza;Pichincha;QUITO;PICHINCHA;OPERATIVO
N170008;Norte;AGIP_GAS;9C;-0,313936111;-78,37180833;Torre Autosoportada;Terreno;Pichincha;QUITO;PICHINCHA;OPERATIVO
N180001;Norte;AGOYAN;9A;-1,398669444;-78,34755833;Torre Autosoportada;Terreno;Tungurahua;ULBA;GRBA;OPERATIVO
S090085;Sur;AGUAS;9B;-2,161669444;-79,91778056;Torre Autosoportada;Terreno;Guayas;GUAYAQUIL;GUAYAS;OPERATIVO
S090002;Sur;AGUAS_CALIENTES;9A;-2,613169444;-79,47164167;Torre Autosoportada;Terreno;Guayas;JESUS MARIA;GUAYAS;OPERATIVO
S0900716;Sur;AGUSTIN_FREIRE;9C;-2,147722222;-79,90130556;Monopolo;Terreno;Guayas;GUAYAQUIL;GUAYAS;OPERATIVO
N170009;Norte;AJAVI;9C;-0,264733333;-78,53639167;Torreta;Terraza;Pichincha;QUITO;PICHINCHA;OPERATIVO
N170013;Norte;ALAMEDA;8F;-0,214725;-78,505;Mástiles;Terraza;Pichincha;QUITO;PICHINCHA;OPERATIVO
S110001;Sur;ALAMOR;9C;-4,009722222;-80,01944722;Torre Autosoportada;Terreno;Loja;ALAMOR;GLOJA;OPERATIVO
N170806;Norte;ALANGASI;9C;-0,310388889;-78,41069444;Torre Autosoportada;Terreno;Pichincha;QUITO;PICHINCHA;OPERATIVO
S060002;Sur;ALAUSI;8F;-2,208841667;-78,88073333;Torre Autosoportada;Terreno;Chimborazo;SIBAMBE;CUENCA;OPERATIVO
S060056;Sur;ALAUSI_TELCONET;10E;-2,2028306;-78,84552;;;Chimborazo;Alausi;CUENCA;OPERATIVO
S090086;Sur;ALBOCENTRO;9B;-2,136111111;-79,90028056;Mástiles;Terraza;Guayas;GUAYAQUIL;GUAYAS;OPERATIVO
S090087;Sur;ALBORADA;8C;-2,138891667;-79,90944444;Torre Autosoportada;Terreno;Guayas;GUAYAQUIL;GUAYAS;OPERATIVO
S0900717;Sur;ALBORADA_11VA_ETAPA;9C;-2,13025;-79,89863889;Torre Tensada;Terreno;Guayas;GUAYAQUIL;GUAYAS;OPERATIVO
S0900718;Sur;ALBORADA_12VA_ETAPA;9C;-2,133694444;-79,90577778;Torreta;Terraza;Guayas;GUAYAQUIL;GUAYAS;OPERATIVO
S090644;Sur;ALBORADA_4TA_ETAPA;9F;-2,137555556;-79,89563889;Soportes;Terraza;Guayas;GUAYAQUIL;GUAYAS;OPERATIVO
S090088;Sur;ALBORADA_7MA_ETAPA;9C;-2,140669444;-79,90191944;Monopolo;Terreno;Guayas;GUAYAQUIL;GUAYAS;OPERATIVO
S010001;Sur;ALEJANDRO_SERRANO;9E;-2,906530556;-79,01353056;Torre Autosoportada;Terreno;Azuay;CUENCA;CUENCA;OPERATIVO
S2300001;Norte;ALIANZA_Y_PROGRESO;9C;-0,181861111;-79,09841667;Torre;Terreno;Santo Domingo;SANTO DOMINGO DE LOS COLORADOS;GSTD;OPERATIVO
N050001;Norte;ALLULLA;9A;-0,931972222;-78,61066667;Torre Autosoportada;Terreno;Cotopaxi;LATACUNGA;GAMB;OPERATIVO
N230002;Norte;ALLURIQUIN;9D;-0,313391667;-79,00502222;Torre Autosoportada;Terreno;Santo Domingo;ALLURIQUIN;GSTD;OPERATIVO
N170014;Norte;ALMAGRO;8K;-0,195391667;-78,48444444;Torreta y Mástiles;Terraza;Pichincha;QUITO;PICHINCHA;OPERATIVO
N170015;Norte;ALOAG;8C;-0,4375;-78,53667222;Torre Autosoportada;Terreno;Pichincha;TAMBILLO;PICHINCHA;OPERATIVO
N170016;Norte;ALOAG_CENTRO;9C;-0,470141667;-78,58806944;Torre Autosoportada;Terreno;Pichincha;ALOAG;PICHINCHA;OPERATIVO
N170017;Norte;ALONSO_DE_ANGULO;9F;-0,247236111;-78,52807222;Mástiles;Terraza;Pichincha;QUITO;PICHINCHA;OPERATIVO
S110002;Sur;ALPACHACA;9C;-3,553072222;-79,17889167;Torre Autosoportada;Terreno;Loja;EL TABLON;GLOJA;OPERATIVO
N1000047;Norte;ALPACHACA_IBARRA;9C;0,360556;-78,1242;;;Imbabura;IBARRA;GIBA;OPERATIVO
S010002;Sur;ALTIPLANO;9C;-2,892308333;-78,97002222;Monopolo;Terreno;Azuay;CUENCA;CUENCA;OPERATIVO
N170018;Norte;AMAGASI_DEL_INCA;9F;-0,145008333;-78,46041944;Mástiles;Terraza;Pichincha;QUITO;PICHINCHA;OPERATIVO
N170019;Norte;AMAGUANA;8F;-0,352252778;-78,50333611;Torre Autosoportada;Terreno;Pichincha;QUITO;PICHINCHA;OPERATIVO
