Item;Country;Region;Hemisphere;HappinessScore;HDI;GDP_PerCapita;Beer_PerCapita;Spirit_PerCapita;Wine_PerCapita
0;Denmark;Western Europe;north;;928.0;53.579;224.0;81.0;278.0
1;;Western Europe;north;7.509;943.0;79.866;185.0;100.0;280.0
2;Iceland;Western Europe;north;7.501;933.0;;233.0;61.0;78.0
3;Norway;Western Europe;north;7.498;951.0;70.89;169.0;71.0;129.0
4;Finland;Western Europe;north;7.413;;43.433;263.0;133.0;97.0
5;Canada;North America;north;7.404;922.0;42.349;240.0;122.0;100.0
6;Netherlands;Western Europe;;7.339;928.0;;251.0;88.0;
7;New Zealand;Australia and New Zealand;south;7.334;;40.332;;79.0;175.0
8;Australia;Australia and New Zealand;south;;938.0;49.897;261.0;;
9;Sweden;Western Europe;north;;932.0;51.845;152.0;60.0;186.0
10;;;north;7.267;902.0;37.181;63.0;69.0;9.0
11;;Western Europe;north;7.119;906.0;;279.0;75.0;191.0
12;United States;;north;7.104;922.0;57.589;249.0;158.0;84.0
13;Costa Rica;Latin America and Caribbean;north;7.087;;;;87.0;11.0
14;Germany;Western Europe;north;6.994;934.0;42.233;;;175.0
15;Brazil;;both;6.952;758.0;8.639;245.0;145.0;16.0
16;Belgium;Western Europe;;6.929;915.0;41.261;295.0;84.0;212.0
17;;Western Europe;north;6.907;934.0;64.1;313.0;118.0;
18;Luxembourg;Western Europe;;6.871;;100.739;236.0;133.0;271.0
19;;;north;6.778;772.0;8.444;238.0;68.0;
20;Singapore;Southeastern Asia;north;6.739;;55.243;60.0;12.0;11.0
21;United Kingdom;Western Europe;north;6.725;920.0;40.412;;126.0;195.0
22;Chile;Latin America and Caribbean;south;6.705;842.0;13.961;130.0;124.0;172.0
23;;Latin America and Caribbean;north;;785.0;14.333;285.0;104.0;
24;Argentina;Latin America and Caribbean;south;6.65;822.0;12.654;193.0;25.0;221.0
25;Czech Republic;Central and Eastern Europe;north;6.596;;18.484;361.0;170.0;134.0
26;United Arab Emirates;Middle East and Northern Africa;;;862.0;38.518;16.0;135.0;
27;Uruguay;Latin America and Caribbean;;6.545;802.0;15.298;115.0;35.0;220.0
28;Malta;Western Europe;north;6.488;875.0;24.771;149.0;100.0;120.0
