FECHA;SUBSISTEMA;ENTIDAD;TIPO DE CREDITO;TIPO DE OPERACION;ESTADO DE LA OPERACION;PROVINCIA;CANTON;SECTOR;SUBSECTOR;ACTIVIDAD;NÚMERO DE OPERACIONES;MONTO OTORGADO
31/01/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;FACTORING;ORIGINAL;GUAYAS;ALFREDO BAQUERIZO MORENO (JUJAN);INDUSTRIAS MANUFACTURERAS;ELABORACIÓN DE PRODUCTOS DE MOLINERÍA;MOLIENDA O PILADO DE ARROZ: PRODUCCIÓN DE ARROZ DESCASCARILLADO BLANQUEADO PULIDO SEMICOCIDO HARINA DE ARROZ;11;106479
31/01/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;FACTORING;ORIGINAL;PICHINCHA;CAYAMBE;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE CEREALES (EXCEPTO ARROZ) LEGUMBRES Y SEMILLAS OLEAGINOSAS;CULTIVO DE TRIGO;58;368374.01
31/01/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;REFINANCIADA;GUAYAS;GUAYAQUIL;INDUSTRIAS MANUFACTURERAS;FABRICACIÓN DE OTROS HILOS Y CABLES ELÉCTRICOS;FABRICACIÓN DE HILOS Y CABLES AISLADOS DE ACERO COBRE ALUMINIO Y OTROS JUEGOS DE CABLES ELÉCTRICOS AISLADOS Y ENCHUFE;1;4023690.74
31/01/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;FACTORING;ORIGINAL;PICHINCHA;CAYAMBE;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CRÍA DE GANADO BOVINO Y BÚFALOS;PRODUCCIÓN DE LECHE CRUDA DE VACA;10;63340.35
31/01/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;FACTORING;ORIGINAL;GUAYAS;ALFREDO BAQUERIZO MORENO (JUJAN);AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE ARROZ;CULTIVO DE ARROZ (INCLUIDO EL CULTIVO ORGÁNICO Y EL CULTIVO DE ARROZ GENÉTICAMENTE MODIFICADO);2;13068
28/02/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO EMPRESARIAL;CREDITO;ORIGINAL;MANABI;MONTECRISTI;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CRÍA DE AVES DE CORRAL;EXPLOTACIÓN DE CRIADEROS DE POLLOS Y REPRODUCCIÓN DE AVES DE CORRAL POLLOS Y GALLINAS (AVES DE LA ESPECIE GALLUS DOMESTICUS);1;500000
28/02/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;FACTORING;ORIGINAL;PICHINCHA;CAYAMBE;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CRÍA DE GANADO BOVINO Y BÚFALOS;PRODUCCIÓN DE LECHE CRUDA DE VACA;10;60371.06
28/02/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;EL ORO;SANTA ROSA;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES;CULTIVO DE BANANOS Y PLÁTANOS;1;550431.2
28/02/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;FACTORING;ORIGINAL;PICHINCHA;CAYAMBE;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE CEREALES (EXCEPTO ARROZ) LEGUMBRES Y SEMILLAS OLEAGINOSAS;CULTIVO DE TRIGO;58;356496.22
28/02/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;ORIGINAL;GUAYAS;GUAYAQUIL;INDUSTRIAS MANUFACTURERAS;FABRICACIÓN DE PRODUCTOS DE PLÁSTICO;FABRICACIÓN DE ARTÍCULOS PLÁSTICOS PARA LA CONSTRUCCIÓN: PUERTAS VENTANAS MARCOS CONTRAPUERTAS PERSIANAS ZÓCALOS TANQUES PARA DEPÓSITOS ETCÉTERA;1;168000
28/02/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO EMPRESARIAL;CREDITO;REESTRUCTURADA;GUAYAS;SAN JACINTO DE YAGUACHI;INDUSTRIAS MANUFACTURERAS;ELABORACIÓN DE PRODUCTOS DE MOLINERÍA;MOLIENDA O PILADO DE ARROZ: PRODUCCIÓN DE ARROZ DESCASCARILLADO BLANQUEADO PULIDO SEMICOCIDO HARINA DE ARROZ;1;1271811.32
28/02/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO EMPRESARIAL;CREDITO;ORIGINAL;MANABI;JARAMIJO;INDUSTRIAS MANUFACTURERAS;ELABORACIÓN Y CONSERVACIÓN DE PESCADOS CRUSTÁCEOS Y MOLUSCOS;ELABORACIÓN DE PRODUCTOS DE PESCADO: COCINADO FILETES DE PESCADO HUEVOS DE PESCADO CAVIAR Y SUSTITUTOS DEL CAVIAR ETCÉTERA ELABORACIÓN DE PRODUCTOS DE CRUSTÁCEOS (EXCEPTO CAMARÓN Y LANGOSTINOS) Y OTROS MOLUSCOS MEDIANTE EL SECADO SALAZÓN CONSERVACIÓN EN SALMUERA ENLATADOS AHUMADO ETCÉTERA;1;200000
28/02/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;FACTORING;ORIGINAL;PICHINCHA;QUITO;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE DE CARGA POR CARRETERA;TODAS LAS ACTIVIDADES DE TRANSPORTE DE CARGA POR CARRETERA INCLUIDO EN CAMIONETAS DE: TRONCOS GANADO TRANSPORTE REFRIGERADO CARGA PESADA CARGA A GRANEL INCLUIDO EL TRANSPORTE EN CAMIONES CISTERNA AUTOMÓVILES DESPERDICIOS Y MATERIALES DE DESECHO SIN RECOGIDA NI ELIMINACIÓN;14;33248.79
