ID_Cliente,Tipo_Suscripcion,Region,Edad,Ingresos_Mensuales,Dispositivo_Principal,Frecuencia_Uso,Horas_Visualizacion_Mensual,Soporte_Contactado,Churn
1,Premium,Norte,35,4500,Smart TV,Alta,120,No,Si
2,Basica,Sur,28,1800,Movil,Media,45,No,No
3,Estandar,Este,50,2900,Tablet,Baja,15,Si,No
4,Premium,Oeste,42,5200,Laptop,Alta,150,No,No
5,Basica,Norte,22,2100,Movil,Media,60,No,Si
6,Estandar,Sur,60,3500,Smart TV,Baja,20,Si,No
7,Premium,Este,38,4800,Laptop,Alta,130,No,No
8,Basica,Oeste,30,2000,Movil,Media,50,No,No
9,Estandar,Norte,55,3100,Tablet,Baja,10,Si,No
10,Premium,Sur,40,4900,Smart TV,Alta,140,No,No
11,Basica,Este,25,1950,Movil,Media,55,No,No
12,Estandar,Oeste,65,3300,Laptop,Baja,25,Si,No
13,Premium,Norte,33,4600,Smart TV,Alta,125,No,No
14,Basica,Sur,29,1900,Movil,Media,40,No,No
15,Estandar,Este,52,3000,Tablet,Baja,18,Si,No
16,Premium,Oeste,44,5300,Laptop,Alta,160,No,Si
17,Basica,Norte,23,2200,Movil,Media,65,No,Si
18,Estandar,Sur,58,3600,Smart TV,Baja,22,Si,Si
19,Premium,Este,36,4700,Laptop,Alta,135,No,No
20,Basica,Oeste,31,2150,Movil,Media,58,No,No
21,Estandar,Norte,53,3200,Tablet,Baja,12,Si,No
22,Premium,Sur,41,5000,Smart TV,Alta,145,No,No
23,Basica,Este,26,2050,Movil,Media,52,No,No
24,Estandar,Oeste,62,3400,Laptop,Baja,28,Si,No
25,Premium,Norte,34,4750,Smart TV,Alta,130,No,No
26,Basica,Sur,27,1850,Movil,Media,48,No,No
27,Estandar,Este,51,2950,Tablet,Baja,16,Si,Si
28,Premium,Oeste,43,5250,Laptop,Alta,155,No,No
29,Basica,Norte,24,2150,Movil,Media,62,No,No
30,Estandar,Sur,59,3550,Smart TV,Baja,21,Si,No
31,Premium,Este,37,4850,Laptop,Alta,138,No,No
32,Basica,Oeste,32,2080,Movil,Media,53,No,Si
33,Estandar,Norte,56,3150,Tablet,Baja,11,Si,Si
34,Premium,Sur,39,4950,Smart TV,Alta,142,No,Si
35,Basica,Este,26,2000,Movil,Media,47,No,No
36,Estandar,Oeste,61,3350,Laptop,Baja,26,Si,Si
37,Premium,Norte,36,4700,Smart TV,Alta,133,No,No
38,Basica,Sur,29,1880,Movil,Media,43,No,No
39,Estandar,Este,54,3050,Tablet,Baja,19,Si,Si
40,Premium,Oeste,45,5400,Laptop,Alta,165,No,No
41,Basica,Norte,25,2250,Movil,Media,68,No,No
42,Estandar,Sur,60,3650,Smart TV,Baja,24,Si,No
43,Premium,Este,38,4900,Laptop,Alta,140,No,No
44,Basica,Oeste,30,2100,Movil,Media,50,No,No
