escuela;sexo;edad;direccion;tam_fami;fam_estado;edu_madre;edu_padre;Mjob;Fjob;razon;tutor;tiempo_viaje;tiempo_estudio;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;salud;ausencias;G1;G2;G3
GP;mujer;18;urbano;GT3;separados;4;4;at_home;teacher;course;mother;15 a 30 min;2;0;yes;no;no;no;yes;yes;no;no;muy buena;medio;alto;1;1;regular;4;0;11;11
GP;mujer;17;urbano;GT3;juntos;1;1;at_home;other;course;father;menos de 15min;2;0;no;yes;no;no;no;yes;yes;no;;medio;medio;1;1;regular;2;9;11;11
GP;mujer;15;urbano;LE3;juntos;1;1;at_home;other;other;mother;menos de 15min;2;0;yes;no;no;no;yes;yes;yes;no;muy buena;medio;poco;2;3;regular;6;12;13;12
GP;mujer;15;urbano;GT3;juntos;;2;health;services;home;mother;menos de 15min;3;0;no;yes;no;yes;yes;yes;yes;yes;buena;poco;poco;1;1;muy buena;0;14;14;14
GP;mujer;16;urbano;GT3;juntos;3;3;other;other;home;father;menos de 15min;2;0;no;yes;no;no;yes;yes;no;no;muy buena;medio;poco;1;2;muy buena;0;11;13;13
GP;hombre;16;;LE3;juntos;4;3;services;other;reputation;mother;menos de 15min;2;0;no;yes;no;yes;yes;yes;yes;no;excelente;alto;poco;1;2;;6;12;12;13
GP;hombre;16;;LE3;juntos;2;2;other;other;home;mother;menos de 15min;2;0;no;no;no;no;yes;yes;yes;no;muy buena;alto;alto;1;1;regular;0;13;12;13
GP;mujer;17;urbano;GT3;;4;4;other;teacher;home;mother;15 a 30 min;2;0;yes;yes;no;no;yes;yes;no;no;muy buena;;alto;1;1;muy mala;2;10;13;13
;hombre;15;urbano;LE3;separados;3;;services;other;home;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;yes;no;muy buena;poco;poco;1;1;muy mala;0;15;16;17
;masculino;15;urbano;GT3;juntos;3;4;other;other;home;mother;menos de 15min;2;0;no;yes;no;yes;yes;yes;yes;no;excelente;muy alto;muy poco;1;1;muy buena;0;12;12;13
;femenino;15;urbano;GT3;juntos;4;4;teacher;health;reputation;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;yes;no;buena;medio;medio;1;2;mala;2;14;14;14
GP;femenino;15;urbano;GT3;juntos;2;1;services;other;reputation;father;30 min a 1 hora;3;0;no;yes;no;yes;yes;yes;yes;no;excelente;poco;;1;1;buena;0;10;12;13
GP;masculino;15;urbano;LE3;juntos;4;4;health;services;course;father;menos de 15min;1;0;no;yes;no;yes;yes;yes;yes;no;muy buena;medio;medio;1;3;muy buena;0;12;13;12
GP;masculino;15;urbano;GT3;juntos;4;3;teacher;other;course;mother;15 a 30 min;2;0;no;yes;no;no;yes;yes;yes;no;excelente;alto;medio;1;2;regular;0;12;12;13
GP;masculino;15;urbano;GT3;separados;2;2;other;other;home;other;menos de 15min;3;0;no;yes;no;no;yes;yes;yes;yes;muy buena;muy alto;poco;1;1;regular;0;14;14;15
GP;femenino;16;urbano;GT3;juntos;4;4;health;other;home;mother;menos de 15min;1;0;no;yes;no;no;yes;yes;yes;no;muy buena;alto;alto;1;2;mala;6;17;17;17
GP;femenino;16;urbano;GT3;juntos;4;4;;services;reputation;mother;menos de 15min;3;0;no;yes;no;yes;yes;yes;yes;no;buena;poco;medio;1;2;mala;10;13;13;14
GP;femenino;16;urbano;GT3;juntos;3;3;other;other;reputation;mother;;2;0;yes;yes;no;yes;yes;yes;no;no;excelente;medio;poco;1;1;buena;2;13;14;14
GP;masculino;17;urbano;GT3;;3;2;services;services;course;mother;menos de 15min;1;3;no;yes;yes;yes;yes;yes;yes;no;excelente;muy alto;muy alto;2;4;muy buena;2;8;8;7
