area;upm;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;fexp;periodo
1;010150000802;2;2;2;2;3;1;2;2;1;2;3;2;3;2;3;2;2;2;2;2;1;3;3;2712;131,546284975274;202104
1;010150000802;3;2;2;2;2;1;2;2;1;2;3;2;3;3;3;2;2;2;1;3;2;3;1;2712;146,934449326555;202104
1;010150000802;2;2;1;2;3;2;2;2;1;2;3;2;1;2;3;2;2;2;2;3;2;3;2;2712;117,769693697478;202104
1;010150000802;3;2;1;2;3;2;2;2;1;2;3;2;1;2;1;2;2;2;2;3;2;2;2;2712;117,769693697478;202104
1;010150000802;2;2;1;2;2;2;2;2;3;2;3;2;1;2;3;2;2;2;2;3;3;3;3;2712;146,934449326555;202104
1;010150000802;1;2;2;2;2;2;2;2;2;2;1;1;3;2;3;3;2;2;2;3;2;3;2;2712;164,122707098539;202104
1;010150000802;3;2;1;1;3;2;2;2;1;2;3;2;3;1;3;2;2;2;2;3;2;3;3;2712;214,077916258443;202104
1;010150002301;2;2;1;2;2;2;2;2;1;2;2;3;2;3;3;3;2;2;2;3;2;2;2;2711;110,907035166788;202104
1;010150002301;2;2;1;2;2;2;2;2;1;2;3;3;3;3;3;3;2;2;2;2;2;3;2;2711;138,372306380735;202104
1;010150002301;2;2;1;2;2;2;2;2;1;2;3;2;3;2;2;3;2;2;2;3;2;3;2;2711;139,92215949291;202104
1;010150002301;2;2;1;2;2;2;2;2;1;2;3;2;3;3;2;3;2;2;2;3;2;2;2;2711;88,8932964349256;202104
1;010150002301;2;2;1;2;2;2;2;2;1;2;3;2;3;2;2;3;2;2;2;3;2;2;2;2711;127,608483147537;202104
1;010150002301;3;2;1;2;2;2;2;2;1;2;3;2;3;3;3;3;2;2;2;3;2;3;2;2711;88,8932964349256;202104
1;010150002301;2;2;1;2;2;2;2;2;2;2;3;2;2;2;3;2;2;2;2;2;2;2;2;2711;110,907035166788;202104
1;010150003804;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;2711;68,8923047370674;202104
1;010150003804;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;161,151389268298;202104
1;010150003804;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;3;3;3;3;2711;107,23853744507;202104
1;010150003804;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;107,23853744507;202104
1;010150003804;3;1;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;3;2;1;1;2711;79,8418828583369;202104
1;010150003804;2;2;2;2;2;2;2;2;2;2;3;3;2;3;2;3;2;2;2;2;2;3;2;2711;85,9529522542604;202104
1;010150003804;3;3;3;2;2;2;2;2;3;2;2;2;2;2;3;3;2;2;2;2;3;3;3;2711;68,8923047370674;202104
1;010150004101;2;2;2;2;2;2;2;3;2;2;2;3;3;3;3;3;2;2;2;2;2;2;2;2713;177,301000418903;202104
