A¤o;Mes;Provincia;Cant¢n;N£mero de Personas;Fecha de Corte
2023;1;AZUAY;CAMILO PONCE ENRIQUEZ;4;31/1/2023
2023;1;AZUAY;CUENCA;436;31/1/2023
2023;1;AZUAY;EL PAN;1;31/1/2023
2023;1;AZUAY;GUALACEO;2;31/1/2023
2023;1;AZUAY;PAUTE;6;31/1/2023
2023;1;AZUAY;PUCARA;2;31/1/2023
2023;1;AZUAY;SANTA ISABEL;3;31/1/2023
2023;1;BOLIVAR;CALUMA;1;31/1/2023
2023;1;BOLIVAR;CHILLANES;1;31/1/2023
2023;1;BOLIVAR;CHIMBO;4;31/1/2023
2023;1;BOLIVAR;ECHEANDIA;4;31/1/2023
2023;1;BOLIVAR;GUARANDA;31;31/1/2023
2023;1;BOLIVAR;SAN MIGUEL;7;31/1/2023
2023;1;CA¥AR;AZOGUES;11;31/1/2023
2023;1;CA¥AR;CA¥AR;12;31/1/2023
2023;1;CA¥AR;LA TRONCAL;4;31/1/2023
2023;1;CA¥AR;BIBLIAN;3;31/1/2023
2023;1;CARCHI;BOLIVAR;2;31/1/2023
2023;1;CARCHI;ESPEJO;2;31/1/2023
2023;1;CARCHI;MIRA;1;31/1/2023
2023;1;CARCHI;TULCAN;13;31/1/2023
2023;1;CHIMBORAZO;ALAUSI;1;31/1/2023
2023;1;CHIMBORAZO;CHUNCHI;1;31/1/2023
2023;1;CHIMBORAZO;CUMANDA;3;31/1/2023
2023;1;CHIMBORAZO;GUAMOTE;4;31/1/2023
2023;1;CHIMBORAZO;GUANO;8;31/1/2023
2023;1;CHIMBORAZO;PENIPE;1;31/1/2023
2023;1;CHIMBORAZO;RIOBAMBA;126;31/1/2023
2023;1;COTOPAXI;LATACUNGA;154;31/1/2023
2023;1;COTOPAXI;PUJILI;13;31/1/2023
2023;1;COTOPAXI;SALCEDO;22;31/1/2023
2023;1;COTOPAXI;SAQUISILI;3;31/1/2023
2023;1;COTOPAXI;SIGCHOS;2;31/1/2023
2023;1;COTOPAXI;LA MANA;13;31/1/2023
2023;1;EL ORO;ARENILLAS;6;31/1/2023
2023;1;EL ORO;ATAHUALPA ;1;31/1/2023
2023;1;EL ORO;BALSAS;3;31/1/2023
2023;1;EL ORO;CHILLA;1;31/1/2023
2023;1;EL ORO;GUABO;20;31/1/2023
2023;1;EL ORO;HUAQUILLAS;15;31/1/2023
2023;1;EL ORO;MACHALA;199;31/1/2023
2023;1;EL ORO;MARCABELI;3;31/1/2023
2023;1;EL ORO;PASAJE;21;31/1/2023
2023;1;EL ORO;PI¥AS;6;31/1/2023
2023;1;EL ORO;PORTOVELO;4;31/1/2023
2023;1;EL ORO;SANTA ROSA;9;31/1/2023
2023;1;EL ORO;ZARUMA;5;31/1/2023
2023;1;ESMERALDAS;ATACAMES;8;31/1/2023
2023;1;ESMERALDAS;ELOY ALFARO;1;31/1/2023
2023;1;ESMERALDAS;ESMERALDAS;95;31/1/2023
2023;1;ESMERALDAS;QUININDE;6;31/1/2023
2023;1;ESMERALDAS;SAN LORENZO;3;31/1/2023
