A¤o;Mes;Provincia;Cant¢n;N£mero de Personas;Fecha de Corte
2023;1;AZUAY;CAMILO PONCE ENRIQUEZ;66;31/1/2023
2023;1;AZUAY;CHORDELEG;2;31/1/2023
2023;1;AZUAY;CUENCA;938;31/1/2023
2023;1;AZUAY;GIRON;9;31/1/2023
2023;1;AZUAY;GUACHAPALA;1;31/1/2023
2023;1;AZUAY;GUALACEO;20;31/1/2023
2023;1;AZUAY;NABON;5;31/1/2023
2023;1;AZUAY;O¥A;5;31/1/2023
2023;1;AZUAY;PAUTE;22;31/1/2023
2023;1;AZUAY;PUCARA;3;31/1/2023
2023;1;AZUAY;SAN FERNANDO;1;31/1/2023
2023;1;AZUAY;SANTA ISABEL;8;31/1/2023
2023;1;AZUAY;SEVILLA DE ORO;6;31/1/2023
2023;1;AZUAY;SIGSIG;10;31/1/2023
2023;1;BOLIVAR;CALUMA;25;31/1/2023
2023;1;BOLIVAR;CHILLANES;15;31/1/2023
2023;1;BOLIVAR;CHIMBO;20;31/1/2023
2023;1;BOLIVAR;ECHEANDIA;25;31/1/2023
2023;1;BOLIVAR;GUARANDA;206;31/1/2023
2023;1;BOLIVAR;LAS NAVES;7;31/1/2023
2023;1;BOLIVAR;SAN MIGUEL;43;31/1/2023
2023;1;CA¥AR;AZOGUES;230;31/1/2023
2023;1;CA¥AR;BIBLIAN;20;31/1/2023
2023;1;CA¥AR;CA¥AR;33;31/1/2023
2023;1;CA¥AR;DELEG;1;31/1/2023
2023;1;CA¥AR;EL TAMBO;6;31/1/2023
2023;1;CA¥AR;LA TRONCAL;65;31/1/2023
2023;1;CARCHI;BOLIVAR;17;31/1/2023
2023;1;CARCHI;ESPEJO;7;31/1/2023
2023;1;CARCHI;MIRA;7;31/1/2023
2023;1;CARCHI;MONTUFAR;29;31/1/2023
2023;1;CARCHI;SAN PEDRO DE HUACA;13;31/1/2023
2023;1;CARCHI;TULCAN;140;31/1/2023
2023;1;CHIMBORAZO;ALAUSI;40;31/1/2023
2023;1;CHIMBORAZO;CHAMBO;20;31/1/2023
2023;1;CHIMBORAZO;CHUNCHI;3;31/1/2023
2023;1;CHIMBORAZO;COLTA;9;31/1/2023
2023;1;CHIMBORAZO;CUMANDA;17;31/1/2023
2023;1;CHIMBORAZO;GUAMOTE;38;31/1/2023
2023;1;CHIMBORAZO;GUANO;58;31/1/2023
2023;1;CHIMBORAZO;PALLATANGA;20;31/1/2023
2023;1;CHIMBORAZO;PENIPE;4;31/1/2023
